,Unnamed: 0,sun_class,dataset_size,occurances_of_class,model_name,dataset,depth,mAP
64,64.0,bed,917.0,120.0,strength7_num2_0007.h5,val,0.0,0.4225198421627283
65,65.0,tool,917.0,2.0,strength7_num2_0007.h5,val,0.0,0.0
66,66.0,desk,917.0,152.0,strength7_num2_0007.h5,val,0.0,0.0
67,67.0,chair,917.0,580.0,strength7_num2_0007.h5,val,0.0,0.33536452877110456
68,68.0,table,917.0,446.0,strength7_num2_0007.h5,val,0.0,0.16326873825225416
69,69.0,wardrobe,917.0,59.0,strength7_num2_0007.h5,val,0.0,0.029661016949152543
70,70.0,sofa,917.0,178.0,strength7_num2_0007.h5,val,0.0,0.1150361971532026
71,71.0,bookcase,917.0,399.0,strength7_num2_0007.h5,val,0.0,0.07376178560051802
72,72.0,bed,917.0,120.0,strength7_num1.h5,val,0.0,0.45168650882939504
73,73.0,tool,917.0,2.0,strength7_num1.h5,val,0.0,0.0
74,74.0,desk,917.0,152.0,strength7_num1.h5,val,0.0,0.0
75,75.0,chair,917.0,580.0,strength7_num1.h5,val,0.0,0.347162841179061
76,76.0,table,917.0,446.0,strength7_num1.h5,val,0.0,0.1149877216917517
77,77.0,wardrobe,917.0,59.0,strength7_num1.h5,val,0.0,0.0211864406779661
78,78.0,sofa,917.0,178.0,strength7_num1.h5,val,0.0,0.12027964291026752
79,79.0,bookcase,917.0,398.0,strength7_num1.h5,val,0.0,0.10913196969870946
80,80.0,bed,917.0,120.0,strength4_num3.h5,val,0.0,0.4558531754960616
81,81.0,tool,917.0,2.0,strength4_num3.h5,val,0.0,0.0
82,82.0,desk,917.0,152.0,strength4_num3.h5,val,0.0,0.0
83,83.0,chair,917.0,580.0,strength4_num3.h5,val,0.0,0.3404078284943284
84,84.0,table,917.0,445.0,strength4_num3.h5,val,0.0,0.1370438739266735
85,85.0,wardrobe,917.0,59.0,strength4_num3.h5,val,0.0,0.012711864406779662
86,86.0,sofa,917.0,178.0,strength4_num3.h5,val,0.0,0.12652184010556575
87,87.0,bookcase,917.0,399.0,strength4_num3.h5,val,0.0,0.07689461768071854
88,88.0,bed,917.0,120.0,strength3_num2_0006.h5,val,0.0,0.4523809533566237
89,89.0,tool,917.0,2.0,strength3_num2_0006.h5,val,0.0,0.0
90,90.0,desk,917.0,152.0,strength3_num2_0006.h5,val,0.0,0.0
91,91.0,chair,917.0,579.0,strength3_num2_0006.h5,val,0.0,0.3569380142371599
92,92.0,table,917.0,446.0,strength3_num2_0006.h5,val,0.0,0.13001014328991886
93,93.0,wardrobe,917.0,59.0,strength3_num2_0006.h5,val,0.0,0.01694915254237288
94,94.0,sofa,917.0,178.0,strength3_num2_0006.h5,val,0.0,0.1098083569511269
95,95.0,bookcase,917.0,399.0,strength3_num2_0006.h5,val,0.0,0.1132354699635416
